bedrooms,bathrooms,sqft_living_media,sqft_lot_media,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,price/sqft_living,price/sqft_lot,price/sqft_above,price/sqft_living15,price/sqft_lot15,Caro
4,2.5,1,1,2,0,0,3,10,2570,1310,1984,0,3740,35230,236.47,26.21,357,245.32,26.04,1
5,3,1,1,1,0,2,4,10,2090,2000,1986,0,2540,10270,267.73,85.21,523.92,431.1,106.62,1
5,4,1,1,2,0,0,3,10,3760,0,1983,0,3430,35096,272.61,36.55,272.61,298.83,29.21,1
3,1,0,1,1,0,0,3,7,1330,0,1928,1954,1340,17689,676.69,11.54,676.69,671.64,50.88,1
3,2.5,0,0,1,0,0,3,8,1340,770,2013,0,2040,9363,286.71,107.87,451.46,296.54,64.61,0
4,2.75,1,1,1,0,2,3,8,1780,1130,1975,0,2920,10988,202.75,55.4,331.46,202.05,53.69,0
4,2.5,1,0,2,0,0,3,10,2770,0,1999,0,2720,10000,432.26,153.51,432.26,440.2,119.74,1
4,3.75,1,1,2,0,0,3,10,4030,0,2006,0,2160,7200,368.49,137.5,368.49,687.5,206.25,1
3,2.5,1,0,2,0,0,3,9,2400,0,2001,0,2080,8615,312.5,96.84,312.5,360.58,87.06,0
4,2,0,0,1,0,0,5,8,1740,0,1958,0,1850,7700,408.05,78.89,408.05,383.78,92.21,0
3,1.75,0,0,1,0,0,3,8,1230,420,1976,0,1930,8958,327.21,53.19,438.94,279.74,60.27,0
3,2,1,1,1,0,2,5,8,1460,1460,1975,0,2920,10988,272.26,58.24,544.52,272.26,72.35,1
4,2.25,0,0,2,0,0,4,8,1840,350,1977,0,2190,10251,333.33,81.03,396.74,333.33,71.21,0
4,2.5,1,1,1,0,3,3,7,1390,1390,1967,0,2860,10506,356.12,94.47,712.23,346.15,94.23,1
3,1,0,1,1,0,0,3,7,1150,340,1963,0,1730,9800,309.06,43.24,400.43,266.18,46.99,0
4,2.25,1,0,2,0,0,4,8,2360,0,1974,0,2360,9337,318.86,87.34,318.86,318.86,80.59,0
3,2.25,0,0,1,0,0,3,7,1230,550,1977,0,1780,7704,264.04,53.51,382.11,264.04,61.01,0
4,3.25,1,1,2,0,0,3,10,3440,0,1983,0,3440,35021,305.23,29.98,305.23,305.23,29.98,1
4,2.5,1,0,2,0,0,4,9,3160,0,1995,0,3000,8281,356.65,136.09,356.65,375.67,136.09,1
3,1.75,0,0,1,0,0,3,7,1010,0,1961,0,1500,8580,346.53,40.79,346.53,233.33,40.79,0
5,5.25,1,1,2,1,4,3,12,5990,2020,1999,0,3430,26788,638.05,112.28,853.22,1490.03,190.79,1
4,1.75,1,0,1,0,3,4,8,1240,1250,1958,0,3210,7834,381.12,121.14,765.32,295.64,121.14,1
3,1,0,0,1,0,0,4,7,1110,0,1960,0,1440,8400,117.12,17.29,117.12,90.28,15.48,0
3,2.5,1,1,1,0,0,3,8,1300,1300,2004,0,1860,10401,287.69,73.46,575.38,402.15,71.92,0
5,2.25,0,0,1,0,0,3,8,1600,500,1974,0,2100,8661,270,81.75,354.38,270,65.47,0
3,2.25,0,0,1,0,0,4,7,1150,700,1977,0,1780,7420,249.19,58.19,400.87,258.99,62.13,0
4,2.25,1,0,1,0,0,4,8,1740,650,1979,0,2240,8858,253.56,68.41,348.28,270.54,68.41,0
3,1.75,0,0,1,0,1,3,8,1560,650,1974,0,2210,8976,309.95,76.49,439.1,309.95,76.31,0
4,2.5,1,0,2,0,0,3,9,2740,0,2009,0,2880,7203,257.66,93.25,257.66,245.14,98.01,0
5,2,0,0,1.5,0,0,4,6,1900,0,1920,0,2110,8400,247.37,78.33,247.37,222.75,55.95,0
3,1.75,0,1,1,0,0,5,8,2170,0,1965,0,1980,9000,417.97,74.22,417.97,458.08,100.78,1
